Orthogroup,Leersia_perrieri,Oryza_barthii,Oryza_brachyantha,Oryza_glaberrima,Oryza_glumaepatula,Oryza_meridionalis,Oryza_nivara,Oryza_punctata,Oryza_rufipogon,Oryza_sativa_IR8,Oryza_sativa_N22,Oryza_sativa_vg_indica,Oryza_sativa_vg_japonica,Total
OG0003446,4,1,2,1,3,1,2,4,1,3,2,1,2,27
OG0003447,2,3,3,2,2,2,3,2,2,1,1,1,3,27
OG0003449,2,4,2,1,2,3,2,1,1,3,2,2,2,27
OG0003450,1,2,2,2,2,2,2,3,2,2,4,2,1,27
OG0003451,2,1,3,1,2,2,2,3,2,3,2,2,2,27
OG0003452,3,2,2,3,2,1,2,3,2,1,2,2,2,27
OG0003453,1,2,2,3,3,0,4,2,2,3,3,1,1,27
OG0003454,1,2,1,3,3,3,2,2,2,1,1,2,4,27
OG0003455,2,2,1,1,2,2,2,2,2,2,5,2,2,27
OG0003456,3,1,1,1,3,1,3,2,4,2,1,1,4,27
OG0003457,4,2,3,2,2,1,2,1,2,2,2,2,2,27
OG0003458,2,2,2,2,2,2,2,2,2,1,4,2,2,27
OG0003459,2,2,0,2,2,1,2,2,3,3,3,3,2,27
OG0003460,1,2,2,2,3,2,3,2,2,2,2,2,2,27
OG0003461,1,2,2,2,1,4,2,3,1,2,4,1,2,27
OG0003462,3,1,4,1,1,0,2,2,3,4,2,1,3,27
OG0003463,1,1,5,2,4,3,6,1,2,0,0,1,1,27
OG0003464,3,2,2,1,3,4,2,2,1,2,2,1,2,27
OG0003465,2,1,1,1,1,3,2,1,2,4,4,1,4,27
OG0003466,3,2,0,2,3,0,2,1,4,2,3,2,3,27
OG0003467,1,2,1,1,1,3,3,2,2,4,3,2,2,27
OG0003468,2,2,0,3,5,2,3,0,4,2,0,3,1,27
OG0003469,1,3,1,1,5,1,1,2,2,3,3,1,3,27
OG0003470,2,2,1,2,2,2,2,2,2,2,4,2,2,27
OG0003471,4,2,3,2,2,2,2,1,2,1,2,2,2,27
OG0003472,3,2,1,1,2,1,2,4,3,3,3,1,1,27
OG0003473,1,2,0,2,2,2,3,1,3,2,3,3,3,27
OG0003474,1,3,1,3,3,1,3,3,1,3,2,1,2,27
OG0003475,1,2,0,2,2,1,1,2,3,2,7,1,3,27
